Brent_Oil,DollarIndex,Ind_Prod,Fed_Funds,Total_AutoSales,DollarIndex_1W_Chg,DollarIndex_1M_Chg,DollarIndex_1Q_Chg,Real_GDP,IR_Diff
99.53,127.149,103.1058,3.78,14.785,26.196719554243675,38.15362717241906,9.83124812123599,87.04106171814308,-284.62
71.75,95.6345,92.2549,0.18,11.948,2.060973306169589,-18.03131856829402,-18.148547874812458,69.58299211874727,-173.62
42.32,101.4653,88.3712,0.15,9.786,-6.329923745868804,9.824837127644948,16.96085946640693,68.09181203493557,-101.35
71.33,94.475,85.6853,0.16,11.566,-18.16491923468716,3.7536927419089094,-20.98228698463891,67.28985777223066,-126.84
36.05,110.3987,98.4775,0.37,17.669,16.14020728746304,19.669885000655807,-3.0694168116837783,78.2942608957622,-125.03
84.9,98.5336,102.9611,0.09,16.756,-22.505407042131665,-11.802842291914494,-11.841902778225123,75.44151539401086,-161.91
64.7,105.3808,100.7675,0.12,17.929,10.191196691570493,16.45162288437141,11.550431251667192,77.12956485415673,-150.68
76.76,118.7168,102.3809,5.08,16.607,17.00236435510465,26.96712369788883,18.71003352808891,85.5078370937129,-240.82
108.86,93.0096,99.4897,0.08,15.827,-1.5510981741201246,2.637738318437699,-22.632229084783827,72.62112774998288,-170.11999999999998
40.47,119.918,91.6745,0.08,13.545,8.622655882723262,4.850922444697048,8.752490547934144,77.4818407495603,-244.72
111.58,93.572,100.1582,0.08,16.079,-5.035439687578657,2.5636528847534645,-15.483060392597492,73.43878257155062,-177.22
36.33,116.1417,96.5256,0.09,16.663,10.211442691647822,3.864221919555133,23.55815467628961,84.62857494169045,-318.81
113.29,88.1645,95.0244,0.08,13.356,-25.735447720962835,-4.65703264486449,-25.17011133093815,69.05510664307118,-265.02000000000004
101.63,93.163,99.0383,0.11,15.884,0.16492921160824459,-22.860878327635305,4.590917408842343,72.13968080105911,-190.48999999999998
104.57,87.5225,94.0493,0.09,11.886,-27.014710051868786,-26.465213544734212,-11.82091855959474,69.2042872521196,-255.10999999999999
67.31,115.1318,101.3372,1.55,16.841,23.04086692600349,16.17212134665933,-4.237186631843359,83.83935868616409,-236.64999999999998
48.29,109.4655,101.0893,0.13,18.318,-5.748322953771123,8.64565985076613,16.5895903273632,77.30671248645152,-139.17000000000002
64.3,107.0359,101.7319,1.42,17.447,21.404760419443193,14.22852770393359,-4.421991641961642,81.46769714141442,-160.48000000000002
77.21,99.2424,102.9611,0.09,16.756,6.525551989523737,-8.382046121748122,-12.52553921006937,75.44151539401086,-161.91
65.03,117.1292,102.1494,1.55,17.594,33.82753006369792,1.4583492138288578,6.441417289919205,84.93281732905741,-217.45
109.87,93.5968,102.2392,0.09,17.137,-18.704649801358098,-1.5355094449190143,-19.301485644916117,73.94333904557696,-176.41
77.56,115.8925,103.9297,2.19,17.991,5.871256240550671,-8.852999237115512,0.9026979070259511,82.75389283623186,-153.21
48.3,109.1931,101.0893,0.13,18.318,2.015398571881022,14.177519618965961,-5.9050873922945835,77.30671248645152,-139.17000000000002
111.5,93.4045,100.1582,0.08,16.079,-5.8824655590755555,-7.944390841006732,0.8427630449592272,73.43878257155062,-177.22
116.43,86.8512,95.0244,0.08,13.356,-25.850086912571758,-8.069648055041,-8.831133658954416,69.05510664307118,-265.02000000000004
51.2,111.2286,98.2039,0.09,17.052,18.83803719785291,0.7517298663842986,16.027376254510294,84.06138050800557,-347.91
77.34,115.3743,103.9297,2.19,17.991,-0.44713851198308063,17.091327222389108,30.653139431385036,82.75389283623186,-153.21
43.08,109.9952,98.4775,0.37,17.669,0.7345702246753572,4.3787862684663725,-8.233943576429448,78.2942608957622,-125.03
67.95,112.997,98.1929,0.07,18.287,20.97597010850656,-4.8180207013666205,15.152892452495625,85.31269110263862,-454.13
78.22,113.9154,104.0585,1.91,17.564,31.16157289709296,22.47703462868349,-8.790626321116079,80.77688416652428,-149.49
111.36,90.8342,97.2734,0.13,14.444,-18.335571966202945,-24.253072933171005,-6.794656049909708,68.05765533799007,-185.07
66.0,108.4953,102.1943,1.51,17.662,-5.962333032573119,15.948467490274876,19.381718951155904,81.45202883278507,-158.69
102.35,94.0564,97.4768,0.16,14.467,-14.49045049238512,-19.015822912872814,-5.480549210582641,68.47280810768234,-194.74
94.64,127.2196,103.5326,2.56,14.191,12.586705841748014,44.29798841937513,18.99624546116101,87.71867207035137,-286.64
114.13,88.5221,93.9684,0.14,13.259,-22.29136710225308,-4.981484065562514,-20.9534473998391,68.63819122512845,-240.36
74.69,115.7612,101.1948,0.08,13.244,27.442306972483934,32.264503413407986,3.1805042921611015,87.79879134497592,-307.02000000000004
122.29,115.9467,102.6732,0.2,14.049,6.867947275135422,0.7077974981716695,2.794093005813192,85.73933500954607,-390.3
67.77,114.6697,101.3372,1.55,16.841,21.91589301738106,4.754191960023935,18.87674811581883,83.83935868616409,-236.64999999999998
84.01,121.4197,102.7267,5.33,16.098,-4.5589673289335835,13.4382950019573,28.756229984517834,90.88188546040237,-197.76999999999998
112.54,87.295,93.6571,0.1,13.326,-1.3862075120224082,-12.038604467445369,-28.45844943451893,69.42447555256078,-252.5
76.12,95.5668,91.9033,0.18,11.598,-17.444877903822697,-18.40907305778576,4.671894047510827,68.96989857227703,-180.01999999999998
82.3,89.8484,92.6033,0.19,12.414,-22.508876923620946,-4.004837772231529,-18.38396463878016,69.89510352226813,-187.41
76.71,114.1669,103.2256,1.82,17.743,-0.43847677285281383,-1.4889660676920435,24.04793854478484,80.98444334669227,-159.88
125.53,118.0689,102.9024,0.33,14.486,-2.7596839722055067,8.12853559428206,1.197288123971485,88.46072571373163,-368.57
54.39,118.4111,99.0406,0.54,18.277,35.64476774156595,26.77237178080285,28.166770034733844,77.86380065694844,-138.96
108.48,92.3853,99.047,0.14,15.721,-3.329084996044651,6.371932684867909,1.4587566030069166,71.67231640850345,-212.76000000000002
103.77,93.5853,99.0383,0.11,15.884,4.159116912488159,-15.8621973125617,1.4445105671703873,72.13968080105911,-190.48999999999998
53.3,117.1008,99.0406,0.54,18.277,2.569834163842599,1.4964337811800288,4.816607993039734,77.86380065694844,-138.96
71.19,92.0305,88.2404,0.12,11.284,-22.053563639535888,-16.332258134900425,1.6988016779161397,67.40948345272766,-171.07999999999998
61.34,111.0016,101.2493,1.16,18.003,-6.257437013928602,-1.7658875899360216,18.71574939573486,76.40057181216739,-156.04
70.86,116.2206,101.2684,0.08,13.553,25.799883747739095,2.023606992557636,28.2514872659577,88.43146137539948,-325.02000000000004
57.72,115.8065,101.3372,1.55,16.841,23.74432736765282,27.492178056282768,1.256011191746076,83.83935868616409,-236.64999999999998
101.13,123.4739,103.1703,2.33,14.01,5.442405175711862,13.80575932782342,35.33892852484462,88.05503558495845,-305.37
46.01,116.8324,95.0037,0.09,15.279,26.949652560835812,24.215258079195046,4.481907196073709,83.77310299990711,-246.81
61.34,111.2599,101.2493,1.16,18.003,0.23269934847787166,-12.545000927530037,20.318824624827926,76.40057181216739,-156.04
15.87,124.172,84.6812,0.05,8.834,6.841644252395862,40.27231617867177,2.814626153095845,77.74744852143087,-236.64999999999998
111.89,91.7632,97.4595,0.16,14.496,-20.761615280662138,-20.73060749197486,-22.902255803343763,68.41622470082594,-211.44
80.2,122.6647,101.8266,4.1,14.048,-0.6553611734949727,5.794041572550146,23.773088003067457,86.99329009544462,-294.9
63.81,111.1286,101.4871,1.3,17.887,-4.88203614750703,-3.0880869139798928,10.296304089341834,76.23994269687859,-153.79999999999998
62.94,111.7833,101.2493,1.16,18.003,0.47043004712388203,-7.936438650400235,19.294944788497315,76.40057181216739,-156.04
34.45,98.2249,90.6266,0.16,10.383,-20.896095738169628,12.520648376195664,-9.321375159247424,69.102872307212,-99.74000000000001
128.47,118.9193,102.8224,1.21,13.748,29.59367153717396,24.43578732363123,3.0089496698011864,86.59193006006862,-312.59000000000003
59.0,117.0796,102.7814,2.13,17.859,-4.553143650944403,30.307940931613707,23.168560980638865,84.73137371307159,-182.57
51.85,113.0547,98.6552,0.4,17.956,1.7332171916140338,-0.9741877899811624,-11.084868933298731,78.33548528875178,-149.5
74.58,91.6541,87.5809,0.12,10.576,-18.007340989217525,-22.372360545410352,-4.1620963146144945,67.67039245481712,-142.88
61.04,118.16,102.7814,2.13,17.859,20.295362988407216,-0.21205782228187475,16.45360532122804,84.73137371307159,-182.57
108.29,93.4328,100.1582,0.08,16.079,-21.431760866402684,1.1338383920385553,-1.1031489812119544,73.43878257155062,-177.22
81.91,89.9328,92.6033,0.19,12.414,-23.186618334876442,-3.902856538366606,-18.538171192233243,69.89510352226813,-187.41
121.8,121.5123,103.0505,1.68,13.965,7.4809804457488305,3.767267174946709,23.320674368946225,88.12429104642057,-291.02
75.78,94.042,92.8533,0.19,11.922,2.6053389864719723,2.185688440245359,-10.759834808617885,69.36940556637269,-172.91
53.3,116.875,99.0492,0.79,17.061,-1.0875084631008725,5.29127508071956,-1.551423218954695,77.46313532219179,-148.91
112.2,92.295,98.6434,0.15,15.861,-1.2177736298173647,-20.586367649108684,-0.7683077875832223,71.4707796528675,-213.75
97.28,115.0209,101.8458,0.08,14.109,27.89649605038429,-0.6783729756101753,-4.08370719991995,86.64875322895249,-347.62
